TOMBO,MODELO,LOCALIDADE,SUBLOCALIDADE,TROCADO EM ,TROCA EM 6 MESES,OBSERVAÇÕES
39663,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DESFAZIMENTO-EL,,,
39664,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DEP-RESERVA,,,
39665,EUROPA SUMMERLINE PLUS HF INOX.,SEZEL,SEZEL,,,
45403,E-DUE EQUILIBRIUM - IBBL,FTN,,,,
45404,E-DUE EQUILIBRIUM - IBBL,DIMON,,12/08/25,12/02/26,
45405,E-DUE EQUILIBRIUM - IBBL,SEREP,DESFAZIMENTO-EL,,,
45406,E-DUE EQUILIBRIUM - IBBL,SEREP,DEP-RESERVA,,,
45407,E-DUE EQUILIBRIUM - IBBL,SEALM,,17/07/25,17/07/26,
45408,E-DUE EQUILIBRIUM - IBBL,FTN,ATERMAººO,06/08/25,06/02/26,
48711,TOP LIFE NEW PLATINUM CLASS,SGP,,,,
48712,TOP LIFE NEW PLATINUM CLASS,EJUD,,13/03/2025,13/09/25,
48713,TOP LIFE NEW PLATINUM CLASS,EJUD,,13/03/2025,13/09/25,
48715,TOP LIFE NEW PLATINUM CLASS,FTM,,,,
48716,TOP LIFE NEW PLATINUM CLASS,BIBLIOTECA,,07/04/25,07/04/26,
48718,TOP LIFE NEW PLATINUM CLASS,1º VT MOSS,,,,
48719,TOP LIFE NEW PLATINUM CLASS,2º VT MOSS,,,,
48720,TOP LIFE NEW PLATINUM CLASS,VT CAICº,,13/03/25,13/09/25,
48721,TOP LIFE NEW PLATINUM CLASS,CLP,,,,
48722,TOP LIFE NEW PLATINUM CLASS,SEGEP,,07/08/25,07/02/26,
48723,TOP LIFE NEW PLATINUM CLASS,DG,,30/06/25,27/12/25,
48724,TOP LIFE NEW PLATINUM CLASS,VT CEARº-M,,,,
48725,TOP LIFE NEW PLATINUM CLASS,3º VT MOSS,,,,
48726,TOP LIFE NEW PLATINUM CLASS,4º VT MOSS,,,,
48727,TOP LIFE NEW PLATINUM CLASS,SDP,,07/08/25,07/02/26,
48728,TOP LIFE NEW PLATINUM CLASS,COF,,02/04/25,09/10/25,
48729,TOP LIFE NEW PLATINUM CLASS,GDRMS,,,,
48803,TOP LIFE NEW PLATINUM CLASS,11º VT NAT,,01/08/2025,01/02/2026,
48804,TOP LIFE NEW PLATINUM CLASS,GDAR,,17/07/25,17/01/26,
48805,TOP LIFE NEW PLATINUM CLASS,GDBH,,10/01/25,10/07/25,Gabinete fechado (presidência)
48806,TOP LIFE NEW PLATINUM CLASS,GDCN,,17/07/25,15/07/25,
48807,TOP LIFE NEW PLATINUM CLASS,GDEM,,17/07/25,15/07/25,
48808,TOP LIFE NEW PLATINUM CLASS,GDER,,17/07/25,15/07/25,
48809,TOP LIFE NEW PLATINUM CLASS,GDIS,,17/07/25,15/07/25,
48810,TOP LIFE NEW PLATINUM CLASS,GDJB,,17/07/25,13/01/26,
48811,TOP LIFE NEW PLATINUM CLASS,GDPW,,17/07/25,13/07/25,
48812,TOP LIFE NEW PLATINUM CLASS,GDRL,,17/07/25,13/07/25,
48813,TOP LIFE NEW PLATINUM CLASS,CSI,SALA ADMINISTRA,07/08/05,07/02/26,
48814,TOP LIFE NEW PLATINUM CLASS,1º VT NATA,,17/01/25,17/7/25,
48815,TOP LIFE NEW PLATINUM CLASS,DSAU,,07/08/25,07/02/26,
48816,TOP LIFE NEW PLATINUM CLASS,4º VT NATA,,15/07/25,15/01/26,
48817,TOP LIFE NEW PLATINUM CLASS,5º VT NATA,,07/08/25,07/02/26,
48818,TOP LIFE NEW PLATINUM CLASS,6º VT NATA,COPA,07/08/25,07/02/26,
48819,TOP LIFE NEW PLATINUM CLASS,7º VT NATA,,15/07/25,15/01/26,
48820,TOP LIFE NEW PLATINUM CLASS,8º VT NATA,COPA,07/08/25,07/02/26,
48821,TOP LIFE NEW PLATINUM CLASS,9º VT NAT,,15/07/25,15/01/26,
48822,TOP LIFE NEW PLATINUM CLASS,10º VT NAT,,15/07/25,15/01/26,
49748,IBBL FR600 EXCLUSIVE,CMPP,,06/08/25,06/02/2026,TROCA DO EUROPA 39622
49749,IBBL FR600 EXCLUSIVE,EJ,,08/08/25,08/02/2026,TROCA DO EUROPA 39620
49750,IBBL FR600 EXCLUSIVE,SDP,,,,TROCA DO EUROPA 39613
49751,IBBL FR600 EXCLUSIVE,SDP,,,,TROCA DO EUROPA 39631
49752,IBBL FR600 EXCLUSIVE,SCR,,06/08/25,06/02/2026,TROCA DO EUROPA 39651
49753,IBBL FR600 EXCLUSIVE,DCI/SAI,,06/08/25,06/02/2026,TROCA DO EUROPA 39637
49754,IBBL FR600 EXCLUSIVE,STP,,07/08/25,07/02/2026,TROCA DO EUROPA 39660
49755,IBBL FR600 EXCLUSIVE,T1,SECRETARIA DAS TURMAS ,25/07/25,25/01/2026,TROCA DO EUROPA 39655
49756,IBBL FR600 EXCLUSIVE,CSI,MONITORAMENTO CFTV,13/08/25,13/02/2026,TROCA DO EUROPA 39624
49757,IBBL FR600 EXCLUSIVE,SEREP,MANUTENÇÃO EQ,,,DEFEITO
49758,IBBL FR600 EXCLUSIVE,CCS,,14/08/25,14/02/2026,TROCA DO EUROPA 39628
49759,IBBL FR600 EXCLUSIVE,1ª VT NATAL,,01/08/25,01/02/2026,TOP LIFE
49760,IBBL FR600 EXCLUSIVE,VT GOIANINHA,,28/07/2025,28/01/2026,TROCA DO EUROPA 39653
49761,IBBL FR600 EXCLUSIVE,FTN,,05/08/25,05/02/2026,TROCA DO EUROPA 39630
49762,IBBL FR600 EXCLUSIVE,SGDM,ARQUIVO,04/08/25,04/02/2026,TROCA DO EUROPA 39636
49763,IBBL FR600 EXCLUSIVE,CJUR,,14/08/25,14/02/2026,TROCA DO EUROPA 39626
49764,IBBL FR600 EXCLUSIVE,CPREC,,06/08/25,06/02/2026,TROCA DO EUROPA 39652
49765,IBBL FR600 EXCLUSIVE,CEJUSC NAT,,04/08/25,04/02/2026,TROCA DO EUROPA 39609
49766,IBBL FR600 EXCLUSIVE,SEREP,MANUTENÇÃO EQ,,,DEFEITO
49767,IBBL FR600 EXCLUSIVE,VT GOIANINHA,,28/07/2025,28/01/2026,TROCA DO EUROPA 39654
49768,IBBL FR600 EXCLUSIVE,STP,CORREDOR,07/08/25,07/02/2026,TROCA DO EUROPA 39662
49769,IBBL FR600 EXCLUSIVE,13ª VT NATAL,,31/07/25,31/01/2026,TROCA DO EUROPA 39659
49770,IBBL FR600 EXCLUSIVE,FTN,SALA VIP JUÍZES,30/07/2025,30/01/2025,TROCA DO EUROPA 39665
49771,IBBL FR600 EXCLUSIVE,SEZEL,COPA PRÉDIO ADM,07/08/25,07/02/2026,TROCA DO EUROPA 36629
49772,IBBL FR600 EXCLUSIVE,2ª VT NATAL,,12/08/25,12/02/2026,TROCA DO EUROPA 39606
49773,IBBL FR600 EXCLUSIVE,SGDM,MEMORIAL,13/08/25,13/02/2026,TROCA DO EUROPA 39625
49774,IBBL FR600 EXCLUSIVE,12ª VT NATAL,,12/08/25,12/02/2026,TROCA DO EUROPA 39635
49775,IBBL FR600 EXCLUSIVE,DOUV,,08/08/25,08/02/2026,TROCA DO EUROPA 39647
49776,IBBL FR600 EXCLUSIVE,CEA,,29/07/2025,29/01/2026,TROCA DO EUROPA 39633
49777,IBBL FR600 EXCLUSIVE,CSI,G1,31/07/25,31/01/2026,TROCA DO EUROPA 39650
49778,IBBL FR600 EXCLUSIVE,SEZEL,COPA CENTRAL,30/07/2025,30/01/2025,TROCA DO EUROPA 39658
49779,IBBL FR600 EXCLUSIVE,CEJUSC NAT,,31/07/25,31/01/2026,TROCA DO EUROPA 39616
49780,IBBL FR600 EXCLUSIVE,CSI,G2,31/07/25,31/01/2026,TROCA DO EUROPA 39649
49781,IBBL FR600 EXCLUSIVE,GPSECEI,,05/08/25,05/02/2026,TROCA DO EUROPA 39607
49782,IBBL FR600 EXCLUSIVE,AJAD,,31/07/25,31/01/2026,TROCA DO EUROPA 39661
